se_name	cell_specific_gain	number_ce_gain	number_cell_gain	gain_ce	number_ce_loss	number_cell_loss	loss_ce
chr1_10000276_10075587	yes	1	4	chr1_10000251_10001761:SK-MEL-2,SK-MEL-28,SK-MEL-5,UACC-257	1	1	chr1_10028412_10032746:COLO_205
chr1_100035771_100050574	yes	1	7	chr1_100045783_100049041:DU-145,HL-60,HOP-92,NCI_ADR-RES,NCI-H226,NCI-H460,RPMI-8226	0	0	none
chr1_100341445_100368063	yes	5	5	chr1_100345750_100346747:K-562|chr1_100346807_100347640:HOP-92,K-562,SK-MEL-2|chr1_100347770_100350487:HCC-2998,K-562|chr1_100361144_100362341:K-562,M14,SK-MEL-28|chr1_100362615_100365155:IGROV1,K-562,KM12,SW-620,X786-0	0	0	none
chr1_100584859_100672297	yes	3	11	chr1_100584434_100586976:EKVX,HOP-62,HS_578T,LOX_IMVI,SF-268,SN12C,SNB-75,UO-31|chr1_100642046_100645252:A498,ACHN,CAKI-1,EKVX,HT29,RXF_393,SF-539,SK-OV-3,TK-10,UO-31,X786-0|chr1_100656135_100660253:A498,ACHN,CAKI-1,EKVX,HOP-62,HOP-92,HS_578T,RXF_393,TK-10,UO-31,X786-0	0	0	none
chr1_100699678_100737367	yes	1	1	chr1_100707732_100709642:HS_578T	0	0	none
chr1_100894312_100897288	no	0	0	none	0	0	none
chr1_101099164_101151255	yes	2	2	chr1_101109177_101114266:CCRF-CEM,HL-60,MOLT-4|chr1_101120359_101123686:CCRF-CEM,MOLT-4	0	0	none
chr1_101148747_101205788	yes	3	1	chr1_101181288_101184086:PC-3,RXF_393,SR|chr1_101185362_101188091:CAKI-1,LOX_IMVI,MDA-MB-231,NCI_ADR-RES,NCI-H460,PC-3,SR,UO-31|chr1_101192554_101195644:SR	0	0	none
chr1_101283349_101391905	yes	4	3	chr1_101304565_101329212:CCRF-CEM,HL-60,MDA-MB-468,MOLT-4,OVCAR-3,SW-620|chr1_101341805_101350719:CCRF-CEM,LOX_IMVI,MOLT-4,RPMI-8226,SF-539,SR|chr1_101350827_101359589:CCRF-CEM,MOLT-4|chr1_101386811_101391905:CCRF-CEM,MOLT-4,SR	0	0	none
chr1_101498436_101550728	yes	5	2	chr1_101506407_101509843:M14,MALME-3M,MDA-MB-435,SK-MEL-2,SK-MEL-28,SK-MEL-5,SNB-75,UACC-257,UACC-62|chr1_101520032_101521497:SK-MEL-2|chr1_101521893_101523399:MALME-3M,SK-MEL-2|chr1_101547246_101548494:SK-MEL-2,SK-MEL-28,UACC-257|chr1_101548655_101549587:SK-MEL-2,SK-MEL-28	0	0	none
chr1_103021878_103130040	yes	6	5	chr1_103082721_103086046:NCI-H522|chr1_103087066_103090091:NCI-H522|chr1_103092454_103095189:NCI-H522|chr1_103096885_103099250:NCI-H522|chr1_103099571_103103143:NCI-H522,SNB-75|chr1_103128263_103130494:A498,CAKI-1,EKVX,LOX_IMVI,NCI-H522	0	0	none
chr1_103149018_103285613	yes	3	7	chr1_103154438_103159189:NCI-H522,SF-539|chr1_103214912_103222090:A498,HS_578T,NCI-H226,NCI-H522,SF-539,SK-MEL-2,SK-MEL-28,SNB-19,SNB-75|chr1_103253198_103258981:MALME-3M,MDA-MB-435,NCI-H226,NCI-H522,SF-539,SK-MEL-2,SK-MEL-28	0	0	none
