se_name	cell_specific_gain	number_ce_gain	number_cancer_gain	gain_ce	number_ce_loss	number_cancer_loss	loss_ce
chr1_10000276_10075587	yes	1	2	chr1_10000251_10001761:Cutaneous_melanoma,Melanoma	0	0	none
chr1_100035771_100050574	no	0	0	none	0	0	none
chr1_100341445_100368063	yes	5	3	chr1_100345750_100346747:Blast_phase_chronic_myelogenous_leukemia__BCR_ABL1_positive|chr1_100346807_100347640:Blast_phase_chronic_myelogenous_leukemia__BCR_ABL1_positive,Lung_non_small_cell_carcinoma|chr1_100347770_100350487:Blast_phase_chronic_myelogenous_leukemia__BCR_ABL1_positive|chr1_100361144_100362341:Blast_phase_chronic_myelogenous_leukemia__BCR_ABL1_positive,Cutaneous_melanoma|chr1_100362615_100365155:Blast_phase_chronic_myelogenous_leukemia__BCR_ABL1_positive,Colon_carcinoma,Ovarian_endometrioid_adenocarcinoma	0	0	none
chr1_100584859_100672297	yes	2	4	chr1_100584434_100586976:Glioblastoma|chr1_100656135_100660253:Clear_cell_renal_cell_carcinoma,Lung_non_small_cell_carcinoma,Papillary_renal_cell_carcinoma,Renal_cell_carcinoma	0	0	none
chr1_100699678_100737367	yes	1	0	chr1_100707732_100709642:	0	0	none
chr1_100894312_100897288	no	0	0	none	0	0	none
chr1_101099164_101151255	yes	2	2	chr1_101109177_101114266:Adult_acute_myeloid_leukemia,Adult_T_acute_lymphoblastic_leukemia,Childhood_T_acute_lymphoblastic_leukemia|chr1_101120359_101123686:Adult_T_acute_lymphoblastic_leukemia,Childhood_T_acute_lymphoblastic_leukemia	0	0	none
chr1_101148747_101205788	yes	2	1	chr1_101181288_101184086:Anaplastic_large_cell_lymphoma__ALK_positive,Prostate_carcinoma|chr1_101192554_101195644:Anaplastic_large_cell_lymphoma__ALK_positive	0	0	none
chr1_101283349_101391905	yes	3	3	chr1_101304565_101329212:Adult_acute_myeloid_leukemia,Adult_T_acute_lymphoblastic_leukemia,Breast_adenocarcinoma,Childhood_T_acute_lymphoblastic_leukemia|chr1_101350827_101359589:Adult_T_acute_lymphoblastic_leukemia,Childhood_T_acute_lymphoblastic_leukemia|chr1_101386811_101391905:Adult_T_acute_lymphoblastic_leukemia,Anaplastic_large_cell_lymphoma__ALK_positive,Childhood_T_acute_lymphoblastic_leukemia	0	0	none
chr1_101498436_101550728	yes	5	1	chr1_101506407_101509843:Amelanotic_melanoma,Cutaneous_melanoma,Glioblastoma,Melanoma|chr1_101520032_101521497:|chr1_101521893_101523399:Melanoma|chr1_101547246_101548494:Cutaneous_melanoma,Melanoma|chr1_101548655_101549587:Cutaneous_melanoma	0	0	none
chr1_103021878_103130040	yes	6	1	chr1_103082721_103086046:|chr1_103087066_103090091:|chr1_103092454_103095189:|chr1_103096885_103099250:|chr1_103099571_103103143:Glioblastoma|chr1_103128263_103130494:Clear_cell_renal_cell_carcinoma	0	0	none
chr1_103149018_103285613	yes	3	4	chr1_103154438_103159189:Gliosarcoma|chr1_103214912_103222090:Cutaneous_melanoma,Glioblastoma,Gliosarcoma,Pleural_epithelioid_mesothelioma|chr1_103253198_103258981:Cutaneous_melanoma,Gliosarcoma,Melanoma,Pleural_epithelioid_mesothelioma	0	0	none
chr1_103332148_103349118	yes	2	3	chr1_103336065_103338625:Cutaneous_melanoma,Gliosarcoma,Melanoma|chr1_103347553_103349161:Amelanotic_melanoma,Cutaneous_melanoma,Melanoma	0	0	none
chr1_10373782_10431330	yes	1	1	chr1_10418266_10418657:Lung_large_cell_carcinoma	1	1	chr1_10397118_10405319:Childhood_T_acute_lymphoblastic_leukemia
chr1_104182241_104192174	yes	1	3	chr1_104188493_104192297:Amelanotic_melanoma,Cutaneous_melanoma,Melanoma	0	0	none
chr1_10494381_10531884	no	0	0	none	1	4	chr1_10507380_10520277:Colon_carcinoma,Lung_adenocarcinoma,Melanoma,Plasma_cell_myeloma
